Fabric,Season,SkinTone,Weather,WorkLevel
Velvet,Winter,Fair,Cold,Low
Linen,Winter,Medium,Hot,Medium
Denim,Winter,Fair,Dry,High
Linen,Summer,Dark,Dry,Medium
Rayon,Summer,Medium,Dry,Low
Velvet,Winter,Dark,Dry,Low
Polyester,Winter,Fair,Humid,Medium
Cotton,Summer,Medium,Humid,Medium
Satin,Rainy,Medium,Humid,Low
Cotton,Rainy,Medium,Hot,High
Velvet,Winter,Medium,Cold,Low
Linen,Summer,Dark,Cold,High
Polyester,Rainy,Dark,Cold,Low
Polyester,Rainy,Fair,Hot,Low
Linen,Rainy,Dark,Dry,Medium
Cotton,Rainy,Fair,Dry,Low
Polyester,Rainy,Fair,Cold,Low
Rayon,Summer,Dark,Dry,Low
Linen,Summer,Medium,Humid,Medium
Silk,Rainy,Dark,Humid,Low
Linen,Winter,Fair,Hot,Medium
Polyester,Rainy,Fair,Cold,Medium
Cotton,Summer,Medium,Dry,Low
Wool,Winter,Fair,Cold,Low
Cotton,Summer,Fair,Hot,High
Rayon,Summer,Fair,Hot,Medium
Velvet,Winter,Medium,Cold,Medium
Cotton,Summer,Fair,Cold,High
Cotton,Rainy,Medium,Cold,High
Linen,Summer,Medium,Cold,Low
Linen,Rainy,Fair,Dry,Medium
Denim,Winter,Fair,Dry,High
Satin,Rainy,Fair,Humid,Low
Polyester,Summer,Dark,Dry,High
Linen,Rainy,Medium,Hot,Low
Chiffon,Summer,Fair,Dry,Low
Wool,Winter,Fair,Cold,Low
Polyester,Winter,Medium,Dry,Low
Polyester,Winter,Medium,Dry,Low
Rayon,Rainy,Dark,Humid,Medium
Cotton,Winter,Fair,Hot,Low
Cotton,Winter,Dark,Humid,Low
Polyester,Rainy,Dark,Humid,High
Wool,Winter,Dark,Cold,Medium
Polyester,Winter,Dark,Cold,Medium
Cotton,Rainy,Medium,Cold,Medium
Linen,Rainy,Dark,Dry,Medium
Cotton,Rainy,Dark,Cold,Medium
Cotton,Rainy,Fair,Hot,Medium
Polyester,Rainy,Dark,Humid,High
Polyester,Summer,Dark,Cold,Low
Linen,Rainy,Dark,Dry,Medium
Linen,Rainy,Fair,Hot,Low
Satin,Rainy,Medium,Humid,Low
Linen,Winter,Medium,Humid,Medium
Cotton,Summer,Medium,Dry,High
Cotton,Summer,Dark,Hot,Low
Polyester,Winter,Fair,Cold,Medium
Cotton,Summer,Dark,Cold,High
Rayon,Summer,Fair,Hot,Low
Polyester,Winter,Dark,Hot,Medium
Nylon,Rainy,Medium,Humid,High
Polyester,Winter,Fair,Dry,Low
Wool,Winter,Medium,Cold,Medium
Polyester,Winter,Dark,Dry,Medium
Polyester,Rainy,Fair,Humid,High
Polyester,Rainy,Dark,Cold,Medium
Velvet,Winter,Medium,Cold,Low
Linen,Winter,Dark,Hot,Medium
Polyester,Winter,Medium,Cold,Medium
Wool,Winter,Medium,Cold,High
Wool,Winter,Fair,Dry,High
Velvet,Winter,Dark,Cold,High
Linen,Summer,Fair,Cold,Low
Linen,Rainy,Medium,Dry,Medium
Polyester,Rainy,Fair,Cold,Low
Nylon,Rainy,Dark,Humid,High
Linen,Rainy,Medium,Cold,Medium
Cotton,Winter,Fair,Humid,High
Linen,Rainy,Fair,Hot,Low
Linen,Rainy,Medium,Hot,Medium
Cotton,Rainy,Fair,Cold,Low
Rayon,Rainy,Medium,Humid,Medium
Polyester,Summer,Dark,Humid,Low
Rayon,Summer,Dark,Dry,Medium
Velvet,Winter,Fair,Cold,High
Polyester,Winter,Medium,Dry,Medium
Linen,Summer,Medium,Humid,Medium
Polyester,Summer,Medium,Cold,Medium
Nylon,Rainy,Medium,Humid,High
Polyester,Rainy,Medium,Dry,High
Polyester,Summer,Dark,Hot,High
Linen,Winter,Medium,Hot,Low
Polyester,Rainy,Medium,Cold,Low
Polyester,Rainy,Fair,Hot,Medium
Satin,Rainy,Dark,Humid,Low
Velvet,Winter,Medium,Dry,Low
Linen,Winter,Dark,Hot,Medium
Linen,Winter,Medium,Hot,Medium
Polyester,Rainy,Dark,Hot,Medium
Linen,Summer,Medium,Cold,High
Linen,Rainy,Medium,Cold,High
Polyester,Winter,Fair,Humid,Low
Linen,Rainy,Dark,Dry,High
Polyester,Rainy,Fair,Dry,Medium
Cotton,Summer,Medium,Cold,High
Polyester,Winter,Medium,Dry,Low
Georgette,Rainy,Dark,Humid,Low
Linen,Summer,Medium,Humid,Low
Cotton,Summer,Medium,Cold,Medium
Linen,Summer,Dark,Dry,Medium
Cotton,Summer,Medium,Humid,Low
Polyester,Winter,Dark,Humid,Medium
Linen,Rainy,Fair,Hot,Low
Nylon,Rainy,Fair,Humid,High
Linen,Summer,Fair,Cold,High
Rayon,Summer,Fair,Hot,Medium
Linen,Winter,Dark,Humid,Low
Cotton,Summer,Fair,Dry,Medium
Polyester,Winter,Dark,Hot,Low
Velvet,Winter,Medium,Cold,Medium
Cotton,Summer,Fair,Hot,Low
Polyester,Winter,Fair,Hot,High
Cotton,Summer,Fair,Hot,Medium
Denim,Winter,Medium,Dry,High
Denim,Winter,Fair,Dry,High
Velvet,Winter,Dark,Cold,Low
Polyester,Summer,Dark,Dry,High
Wool,Winter,Medium,Dry,High
Cotton,Winter,Medium,Hot,High
Polyester,Winter,Medium,Cold,Low
Cotton,Summer,Fair,Humid,High
Denim,Winter,Medium,Dry,High
Cotton,Rainy,Fair,Cold,Low
Linen,Summer,Fair,Cold,Low
Linen,Winter,Medium,Hot,High
Polyester,Summer,Dark,Dry,High
Cotton,Winter,Fair,Hot,Medium
