ID,Skin Tone,Weather Condition,Work Level,Season,Fabric,,Avoid Fabrics,Gender
1,Medium,Hot,Home,Summer,Cotton,,Wool,Male
2,Olive,Hot,Home,Spring,Linen,,Fleece,Male
3,Light,Rainy,Fitness,Spring,Silk,,Velvet,Male
4,Fair,Windy,Outdoor,Summer,Wool,,Wool,Male
5,Light,Hot,Home,Summer,Cashmere,,Polyester,Male
6,Deep,Humid,Home,Monsoon,Fleece,,Cotton,Male
7,Medium,Hot,Fitness,Autumn,Flannel,,Linen,Male
8,Fair,Windy,Outdoor,Spring,Velvet,,Velvet,Male
9,Olive,Humid,Office,Winter,Corduroy,,Linen,Male
10,Medium,Rainy,Office,Spring,Tweed,,Fleece,Male
11,Medium,Sunny,Fitness,Spring,Polyester,,Fleece,Male
12,Tan,Rainy,Fitness,Winter,Nylon,,Linen,Male
13,Fair,Sunny,Home,Autumn,Rayon,,Linen,Male
14,Tan,Humid,Outdoor,Autumn,Modal,,Linen,Male
15,Fair,Cold,Home,Autumn,Bamboo Fabric,,Linen,Male
16,Deep,Cold,Outdoor,Autumn,Jersey,,Linen,Male
17,Deep,Cloudy,Office,Autumn,Voile,,Linen,Male
18,Deep,Cloudy,Office,Monsoon,Poplin,,Silk,Male
19,Medium,Windy,Home,Spring,Seersucker,,Velvet,Male
20,Olive,Cloudy,Fitness,Winter,Muslin,,Silk,Male
21,Light,Sunny,Home,Winter,Tencel,,Linen,Male
22,Fair,Hot,Office,Winter,Georgette,,Linen,Male
23,Fair,Cloudy,Outdoor,Monsoon,Chiffon,,Cotton,Male
24,Olive,Humid,Outdoor,Monsoon,Crepe,,Silk,Male
25,Olive,Cloudy,Home,Autumn,Hemp Fabric,,Linen,Male
26,Fair,Hot,Fitness,Spring,Satin,,Velvet,Male
27,Deep,Cold,Home,Winter,Organza,,Linen,Male
28,Light,Windy,Home,Winter,Acrylic,,Silk,Male
29,Fair,Cloudy,Home,Monsoon,Polyester Fleece,,Silk,Male
